year,rank,location,mentions
1954,1,Foreign,378
1954,2,Stockholm,214
1954,3,Västergötland,57
1954,4,Skåne,34
1954,5,Dalarna,20
1954,6,Uppland,13
1954,7,Närke,10
1954,8,Jämtland,10
1955,1,Foreign,240
1955,2,Stockholm,175
1955,3,Skåne,27
1955,4,Västergötland,25
1955,5,Östergötland,12
1955,6,Dalarna,8
1955,7,Uppland,7
1955,8,Medelpad,7
1956,1,Foreign,296
1956,2,Stockholm,171
1956,3,Västergötland,32
1956,4,Skåne,19
1957,1,Stockholm,127
1957,2,Foreign,81
1957,3,Västergötland,30
1957,4,Skåne,10
1957,5,Uppland,9
1957,6,Blekinge,8
1957,7,Närke,6
1957,8,Östergötland,5
1957,9,Södermanland,5
1958,1,Foreign,148
1958,2,Stockholm,98
1958,3,Skåne,15
1958,4,Västergötland,14
1958,5,Västmanland,6
1958,6,Uppland,6
1958,7,Närke,5
1958,8,Västerbotten,5
1959,1,Stockholm,150
1959,2,Foreign,59
1959,3,Västergötland,18
1959,4,Dalarna,9
1959,5,Västerbotten,6
1959,6,Västmanland,4
1959,7,Uppland,4
1960,1,Foreign,51
1960,2,Stockholm,40
1960,3,Västmanland,9
1960,4,Dalarna,4
1960,5,Halland,3
1960,6,Hälsingland,3
1960,7,Västerbotten,2
1960,8,Skåne,2
1960,9,Lappland,2
1961,1,Foreign,20
1961,2,Stockholm,13
1961,3,Uppland,7
1961,4,Dalarna,4
1961,5,Blekinge,3
1961,6,Västmanland,2
1961,7,Närke,1
1961,8,Östergötland,1
1961,9,Södermanland,1
1961,10,Småland,1
1962,1,Foreign,13
1963,1,Skåne,1
1964,1,Foreign,3
1964,2,Skåne,2
1964,3,Stockholm,2
1964,4,Uppland,1
